Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
ARI,BUF,LAR,DET,WSH,SF,GB,LAC,MIA,CHI,NYJ,BYE,SEA,MIN,SEA,NE,CAR
ATL,PIT,PHI,KC,NO,TB,CAR,SEA,TB,DAL,NO,DEN,BYE,LAC,MIN,LV,NYG
BAL,KC,LV,DAL,BUF,CIN,WSH,TB,CLE,DEN,CIN,PIT,LAC,PHI,BYE,NYG,PIT
BUF,ARI,MIA,JAX,BAL,HOU,NYJ,TEN,SEA,MIA,IND,KC,BYE,SF,LAR,DET,NE
CAR,NO,LAC,LV,CIN,CHI,ATL,WSH,DEN,NO,NYG,BYE,KC,TB,PHI,DAL,ARI
CHI,TEN,HOU,IND,LAR,CAR,JAX,BYE,WSH,ARI,NE,GB,MIN,DET,SF,MIN,DET
CIN,NE,KC,WSH,CAR,BAL,NYG,CLE,PHI,LV,BAL,LAC,BYE,PIT,DAL,TEN,CLE
CLE,DAL,JAX,NYG,LV,WSH,PHI,CIN,BAL,LAC,BYE,NO,PIT,DEN,PIT,KC,CIN
DAL,CLE,NO,BAL,NYG,PIT,DET,BYE,SF,ATL,PHI,HOU,WSH,NYG,CIN,CAR,TB
DEN,SEA,PIT,TB,NYJ,LV,LAC,NO,CAR,BAL,KC,ATL,LV,CLE,BYE,IND,LAC
DET,LAR,TB,ARI,SEA,BYE,DAL,MIN,TEN,GB,HOU,JAX,IND,CHI,GB,BUF,CHI
GB,PHI,IND,TEN,MIN,LAR,ARI,HOU,JAX,DET,BYE,CHI,SF,MIA,DET,SEA,NO
HOU,IND,CHI,MIN,JAX,BUF,NE,GB,IND,NYJ,DET,DAL,TEN,JAX,BYE,MIA,KC
IND,HOU,GB,CHI,PIT,JAX,TEN,MIA,HOU,MIN,BUF,NYJ,DET,NE,BYE,DEN,TEN
JAX,MIA,CLE,BUF,HOU,IND,CHI,NE,GB,PHI,MIN,DET,BYE,HOU,TEN,NYJ,LV
KC,BAL,CIN,ATL,LAC,NO,BYE,SF,LV,TB,DEN,BUF,CAR,LV,LAC,CLE,HOU
LV,LAC,BAL,CAR,CLE,DEN,PIT,LAR,KC,CIN,BYE,MIA,DEN,KC,TB,ATL,JAX
LAC,LV,CAR,PIT,KC,BYE,DEN,ARI,NO,CLE,TEN,CIN,BAL,ATL,KC,TB,DEN
LAR,DET,ARI,SF,CHI,GB,BYE,LV,MIN,SEA,MIA,NE,PHI,NO,BUF,SF,NYJ
MIA,JAX,BUF,SEA,TEN,NE,BYE,IND,ARI,BUF,LAR,LV,NE,GB,NYJ,HOU,SF
MIN,NYG,SF,HOU,GB,NYJ,BYE,DET,LAR,IND,JAX,TEN,CHI,ARI,ATL,CHI,SEA
NE,CIN,SEA,NYJ,SF,MIA,HOU,JAX,NYJ,TEN,CHI,LAR,MIA,IND,BYE,ARI,BUF
NO,CAR,DAL,PHI,ATL,KC,TB,DEN,LAC,CAR,ATL,CLE,BYE,LAR,NYG,WSH,GB
NYG,MIN,WSH,CLE,DAL,SEA,CIN,PHI,PIT,WSH,CAR,BYE,TB,DAL,NO,BAL,ATL
NYJ,SF,TEN,NE,DEN,MIN,BUF,PIT,NE,HOU,ARI,IND,BYE,SEA,MIA,JAX,LAR
PHI,GB,ATL,NO,TB,BYE,CLE,NYG,CIN,JAX,DAL,WSH,LAR,BAL,CAR,PIT,WSH
PIT,ATL,DEN,LAC,IND,DAL,LV,NYJ,NYG,BYE,WSH,BAL,CLE,CIN,CLE,PHI,BAL
SF,NYJ,MIN,LAR,NE,ARI,SEA,KC,DAL,BYE,TB,SEA,GB,BUF,CHI,LAR,MIA
SEA,DEN,NE,MIA,DET,NYG,SF,ATL,BUF,LAR,BYE,SF,ARI,NYJ,ARI,GB,MIN
TB,WSH,DET,DEN,PHI,ATL,NO,BAL,ATL,KC,SF,BYE,NYG,CAR,LV,LAC,DAL
TEN,CHI,NYJ,GB,MIA,BYE,IND,BUF,DET,NE,LAC,MIN,HOU,WSH,JAX,CIN,IND
WSH,TB,NYG,CIN,ARI,CLE,BAL,CAR,CHI,NYG,PIT,PHI,DAL,TEN,BYE,NO,PHI
